rep,Range,predatorx,predatory,xMAP,yMAP,PosteriorEntropy,KLD,KLD0,KLDI,PR25,PR50,PR100,QP01,QP05,QP25,QP50,Qψ01,Qψ05,Qψ25,Qψ50,Qψ75,Qψ95,Qψ99,MP,NR25,NR50,NR100,QN01,QN05,QN25,QN50,QΘ01,QΘ05,QΘ25,QΘ50,QΘ75,QΘ95,QΘ99,MN,Nreceptors,n_likelihood_particles,n_posterior_particles,priorDensity
1.0,450.9486343824509,-174.0812514502616,415.9932556483436,-10.0,327.0,17.89505459563757,-9.87119373550179,-10.650006539354113,-6.761832231175855,1.026837181736486e-12,3.257882986519735e-8,0.0005275354589952914,130.0,154.0,191.0,216.0,-159.0,-109.0,-45.0,-21.0,3.0,81.0,159.0,2.2424028765824697e-10,0.001953125,0.0087890625,0.0634765625,50.37153951124719,88.06374205751118,143.4009136346084,177.66352652197565,-176.78012440265695,-168.11129275772012,-73.88435030868047,7.774286628395484,107.96333744897055,159.558720593664,172.59799492782685,0.0,32.0,1024.0,1024.0,4.0
1.0,450.6496229258778,-173.88730318341536,415.75027171949614,-22.0,325.0,17.910866875666535,-9.810569853135702,-10.457594379122032,-6.809796870810043,2.2605658613256543e-12,4.5820701606486944e-8,0.0005901584356192836,130.0,153.0,190.0,216.0,-158.0,-108.0,-43.0,-18.0,6.0,85.0,159.0,8.074671438240346e-10,0.001953125,0.0087890625,0.0634765625,50.32084873252063,88.8690289395492,143.84263689654,175.48883181683482,-177.4036412412354,-168.19657937681973,-74.25246860721889,8.10216361611963,107.67064303496524,159.46060082313824,172.86164051651906,0.0,32.0,1024.0,1024.0,4.0
1.0,450.36019363937066,-173.68941181774449,415.519304289581,-33.0,326.0,17.93620259428153,-9.8148220924614,-10.478974932884237,-6.951928689943159,2.3545046962288194e-12,4.248293657797663e-8,0.0004798780903730825,131.0,155.0,191.0,217.0,-159.0,-109.0,-40.0,-15.0,10.0,88.0,160.0,4.3509711201882804e-10,0.001953125,0.0087890625,0.0654296875,50.37422885531791,90.80838002802886,145.46944058087337,176.30264508795472,-178.80351934505006,-168.3718489967608,-73.73226501072646,8.965525854787764,108.17502931415368,158.62356083261912,170.84322099588883,0.0,32.0,1024.0,1024.0,4.0
1.0,450.10394580992363,-173.49931221421267,415.3210212532684,-38.0,326.0,17.972734837091615,-9.744166048299755,-10.403310926228219,-6.891973831313752,4.347085594117537e-12,6.934224226407846e-8,0.0005047528429318111,132.0,155.0,191.0,217.0,-160.0,-110.0,-40.0,-14.0,12.0,89.0,160.0,3.365217266654593e-10,0.0029296875,0.0126953125,0.0654296875,38.74609905299431,90.289488650463,146.12995624832797,177.52755978695598,-178.52360679352006,-168.2160674290041,-74.3668433023612,8.63136159877089,106.3449466867031,156.39394756198078,170.42585477935052,0.0,32.0,1024.0,1024.0,4.0
1.0,449.8455555916987,-173.30170137740663,415.12352882642085,-37.0,318.0,17.861481597513055,-9.796003609954058,-10.677742932184586,-6.799851878962114,2.10395204274684e-11,2.3863397322939365e-7,0.001145231930401549,124.0,148.0,185.0,211.0,-155.0,-101.0,-38.0,-14.0,9.0,67.0,153.0,3.546756245334244e-9,0.005859375,0.013671875,0.0576171875,38.16302684663194,91.78662271995228,146.52773268866292,177.49656532477462,-178.82060157284258,-167.9633888773262,-74.4940099587529,7.91217269516781,105.26320782359609,159.02198197938966,170.02711126750023,0.0,32.0,1024.0,1024.0,4.0
1.0,449.594643670212,-173.13224347246998,414.9223660965196,-42.0,318.0,17.9124688542257,-9.798087492694087,-10.397291571389678,-6.85094469492654,6.41058052866001e-11,4.3214176797658214e-7,0.0011764734808052616,124.0,148.0,185.0,211.0,-155.0,-104.0,-38.0,-13.0,11.0,67.0,151.0,1.7867541072671867e-9,0.0048828125,0.013671875,0.060546875,38.824153783693305,92.25930068484746,145.66677752608211,178.0957505629102,-178.57327776043516,-168.36664504157665,-73.88365122630792,8.495286498270115,106.84046917766739,157.37291400888338,169.7779501346627,0.0,32.0,1024.0,1024.0,4.0
1.0,449.3420816534186,-172.95777361679126,414.7214907502989,-29.0,313.0,17.873646424558643,-9.813590227594107,-10.681666419079356,-6.844233283397976,3.623981259599611e-11,5.395348922400121e-7,0.0020092052111268153,118.0,142.0,180.0,207.0,-150.0,-101.0,-41.0,-17.0,6.0,55.0,141.0,2.9922715681194014e-9,0.00390625,0.0126953125,0.056640625,41.524057135956554,94.13864914408688,146.30211476633707,179.51640618795074,-178.3134047470554,-168.36921926717554,-74.5784785191776,7.747013844703121,105.67314384422097,157.34612389822453,169.92453386507015,0.0,32.0,1024.0,1024.0,4.0
1.0,449.0465986754592,-172.75692100080025,414.485095061719,-36.0,316.0,17.8928983962153,-9.786759230374024,-10.617309957525075,-6.857814898597187,2.3016998480699567e-11,3.4633030313740663e-7,0.0014633093210955604,121.0,145.0,182.0,209.0,-152.0,-101.0,-39.0,-15.0,9.0,62.0,148.0,1.5704200325775671e-9,0.0048828125,0.01171875,0.0546875,46.9791562110596,93.14208604037222,145.0677402121931,177.85419032241685,-177.73130280079698,-168.55895197347002,-74.2233311812102,9.690134769220933,107.09405215550805,156.95252289108427,169.3813934137815,0.0,32.0,1024.0,1024.0,4.0
1.0,448.783550468538,-172.56236129954587,414.28119271078646,-37.0,315.0,17.86534996733306,-9.770465581205906,-10.505838368291348,-6.880297334391027,4.019507861510649e-12,1.7294014405111643e-7,0.0014071499147522938,121.0,145.0,182.0,209.0,-152.0,-100.0,-39.0,-15.0,8.0,59.0,149.0,2.5270770956504583e-9,0.0048828125,0.009765625,0.0537109375,48.28963526015718,95.38183880467281,144.366942179815,178.43734682070863,-177.64750332322532,-168.03477601523895,-73.93851689903047,7.888387984592711,104.40377943324093,157.21898303470354,171.027020767226,0.0,32.0,1024.0,1024.0,4.0
1.0,448.51210957350963,-172.35286821348654,414.07439096455175,-32.0,313.0,17.900835769632238,-9.740225150570417,-10.658881673262176,-6.868130489922635,1.4063805601119412e-11,4.026950265494774e-7,0.002162425278957404,117.0,141.0,179.0,206.0,-149.0,-100.0,-41.0,-17.0,7.0,57.0,146.0,3.3075455424489768e-9,0.0048828125,0.01171875,0.0546875,46.75008731645502,93.74508635516955,143.30464230763562,178.29867514408545,-177.6223623139625,-168.1461099660026,-74.05801086853644,8.619534370942063,105.83942969785984,159.04342362630277,172.5033090421953,0.0,32.0,1024.0,1024.0,4.0
1.0,448.2162962494543,-172.1671398468648,413.8312750149856,-36.0,311.0,17.862084372299996,-9.740958359438858,-10.762723473338744,-6.878238573940045,4.746331765172324e-12,2.6269928963873273e-7,0.002022710727102519,118.0,141.0,179.0,206.0,-146.0,-95.0,-38.0,-15.0,8.0,59.0,143.0,3.204749296469736e-9,0.00390625,0.01171875,0.056640625,44.95481750108132,94.96797090783718,144.79472638133245,178.19479459412082,-177.72717959700313,-168.09077398399765,-74.39292049627372,9.001882157287499,104.09324581058851,158.32335020771424,171.82621475904003,0.0,32.0,1024.0,1024.0,4.0
1.0,447.9232612411895,-171.96551908351543,413.5977613663788,-28.0,314.0,17.83787596994044,-9.781485134190193,-10.768618636375583,-6.882404747522951,1.3486373599267361e-12,1.0256535721332308e-7,0.001541806960094381,120.0,143.0,180.0,207.0,-146.0,-94.0,-39.0,-16.0,7.0,60.0,145.0,1.1709551458355232e-9,0.0029296875,0.013671875,0.0546875,41.12235506231295,96.5430556732986,144.76393359423548,178.22385969994235,-177.8246692480795,-168.0679726809852,-74.64088642964052,9.466877462559417,105.31873204531459,159.00805379533847,172.25193019567456,0.0,32.0,1024.0,1024.0,4.0
1.0,447.64351101030775,-171.75048676313043,413.384183594708,-23.0,314.0,17.88811946840674,-9.702442272613617,-10.535668731736537,-6.847891602621196,4.013899264370984e-12,1.6748243287416148e-7,0.0017995090741496462,119.0,142.0,179.0,206.0,-149.0,-97.0,-42.0,-17.0,6.0,59.0,149.0,8.281457416275301e-10,0.00390625,0.0146484375,0.0546875,41.52510257347413,94.72314042057943,143.831410722584,177.93101905390404,-176.76922597550808,-167.77963143699995,-75.19398671084093,8.629046875354655,103.14098712876937,159.12685869147865,171.71378072684257,0.0,32.0,1024.0,1024.0,4.0
1.0,447.3586953103446,-171.52569840509724,413.1691385575856,-24.0,319.0,17.92532767834096,-9.736804064526423,-10.479699050999969,-6.889689342747996,9.91713129377821e-12,9.845695106284701e-8,0.0011293986866046436,123.0,146.0,183.0,210.0,-156.0,-101.0,-42.0,-17.0,7.0,69.0,158.0,2.891507087977899e-10,0.0029296875,0.0146484375,0.05078125,45.08543581327643,97.91817512731188,141.73229974934372,176.94543939268408,-176.63519455120485,-164.80713872547378,-74.25153233605666,9.482288449567228,107.0448662812384,159.6975090240375,172.0714845133175,0.0,32.0,1024.0,1024.0,4.0
